date,vehicle_id,phone_number,postal_code
2013-04-03,5599,494-719-9322,81757
2006-12-02,5135,957-177-9867,70676
2006-10-21,4306,798-827-6004,77904
1999-06-09,949,722-464-5051,45174
2003-05-14,55,354-614-3081,54640
2000-03-31,6110,960-253-1060,22844
2013-06-29,29,557-844-4810,17546
2009-12-01,3773,912-757-7711,73788
2006-01-04,2884,950-281-6891,63505
2009-05-17,4595,726-831-3180,18748
2009-09-28,9942,153-017-1812,73425
2003-08-15,5582,183-766-0703,88046
2009-10-18,5077,826-538-2239,82043
2012-02-09,7586,632-165-3647,92176
2006-09-11,970,964-005-9586,69807
2007-10-15,7842,703-186-2289,90304
2011-11-06,4180,753-637-2927,15774
2005-02-24,326,682-088-5651,15694
2004-11-03,7712,548-399-2779,57323
2007-05-16,4376,613-460-8521,87759
2009-03-19,4739,895-461-7021,37055
2006-09-05,5716,253-995-5419,34485
2007-04-03,9772,502-592-6473,27892
2007-04-15,6554,596-963-0570,93873
2002-04-28,5585,112-622-5369,54061
2005-09-06,9764,866-285-8324,82450
2006-05-13,6094,349-483-1419,72956
2002-04-13,4701,447-910-7212,83270
2003-11-11,7921,358-059-3091,96134
2013-12-09,6698,399-834-0557,99314
2009-03-21,4458,791-646-3714,98769
2010-12-23,6612,729-276-2374,98186
2014-01-03,6506,168-327-8508,28403
2001-01-12,1046,138-275-5255,77839
2013-10-04,5408,117-848-9163,32072
2013-05-08,356,649-483-9930,20145
2011-05-23,196,675-842-4933,92906
2000-09-12,4311,204-080-7268,42281
2012-07-20,3944,239-874-0775,34357
2005-08-14,2586,997-213-7786,87768
2012-05-11,4919,665-671-7839,23791
2008-01-12,57,264-740-5634,29463
2004-04-03,4490,298-854-9774,71262
2006-09-27,4554,894-828-2808,69445
2007-04-28,2335,685-752-6232,53460
2006-08-20,649,459-207-5004,80364
2011-10-08,5911,945-222-4241,23731
2012-09-06,8712,574-716-2081,11869
2012-04-20,2095,625-148-9323,17335
2010-07-24,645,173-649-6505,18331
