date,vehicle_id,phone_number,postal_code
2001-11-21,4426,255-549-7423,20646
2012-11-17,8038,547-410-1765,28326
2011-04-11,418,218-066-3477,94038
2012-08-10,7698,205-475-2261,95269
2001-02-27,7120,438-088-3622,17109
2006-01-18,5691,663-587-4806,39905
1999-08-30,5222,569-715-4067,28140
2002-01-01,4585,641-632-4678,58487
2009-12-14,5495,156-179-6042,49034
2011-01-04,338,867-013-1237,78975
2005-07-20,6593,439-624-0090,87380
2011-02-08,4921,184-424-4268,72480
2010-08-03,4741,543-168-2800,95086
2014-09-17,4418,191-441-3472,69173
2000-12-17,9560,373-395-0955,13477
2002-09-11,385,809-070-9061,66990
2013-11-07,6609,109-443-5015,34361
2003-09-21,4136,637-548-9351,60630
2011-03-25,1666,567-478-7409,39111
2002-05-21,3893,358-003-7195,46983
2005-02-19,8821,734-946-7873,42238
2000-07-14,5118,322-594-4858,54120
2009-07-26,680,781-210-3346,50617
2006-11-06,5126,399-910-3091,46742
2011-04-08,1496,829-004-3486,71991
2007-06-26,1872,670-730-4315,53718
2009-06-17,498,176-403-2447,93002
2012-03-21,6631,601-897-6131,99194
2000-05-02,1620,917-719-1346,15681
2002-09-06,3982,402-276-8720,32118
2001-12-25,3786,594-365-4242,89931
2004-03-27,4694,768-812-9115,86290
2003-11-16,8268,826-539-8330,56419
2013-12-28,332,117-178-3380,20110
2000-07-12,4465,914-654-5333,92284
2000-04-20,6496,813-781-0659,89223
2006-01-25,7446,748-435-9517,83436
2013-04-26,6315,208-659-5385,49694
2006-12-05,4520,907-774-0647,74796
2010-04-26,7960,867-994-1324,90571
2003-02-18,9491,190-762-8376,47758
1998-11-07,1019,110-051-3269,36854
2011-09-29,3810,649-388-6749,93114
2009-02-20,2787,633-864-6484,82208
2011-12-02,9073,248-321-1457,74715
2010-01-09,327,913-208-6864,82323
2006-05-02,3298,920-828-2704,41037
2006-12-16,3622,832-204-4843,59052
2014-05-12,849,385-366-3794,63468
2005-03-13,4913,701-714-6496,26368
