date,vehicle_id,phone_number,postal_code
2011-08-01,2248,184-029-3940,44770
2013-03-27,1448,191-061-1644,91513
2007-07-23,5135,973-041-9473,63576
2007-12-13,8953,921-386-5432,75538
2005-02-02,2402,995-256-5919,50836
2008-07-03,5382,936-638-8971,54040
2005-03-31,4697,836-516-3935,48568
2014-09-08,8042,550-661-6796,64188
1999-08-31,3435,313-266-8249,10197
2009-08-12,2089,687-080-9539,94604
2008-04-30,6033,950-182-7838,86813
2008-12-23,5177,970-648-6865,69936
2007-08-31,6525,320-535-5545,38315
2000-01-08,5107,217-121-5942,14846
2004-05-18,2600,224-789-9335,36823
2005-02-21,5089,263-169-9009,15495
2001-07-07,9745,857-890-5375,73523
2004-08-11,315,866-156-8483,35449
1998-10-15,9095,555-527-0609,86854
1999-01-24,5148,163-122-7757,33771
2003-09-04,3596,208-063-4171,92576
2000-02-28,4863,506-517-5185,17879
2003-09-13,2438,226-370-9900,72041
2013-02-06,4559,843-365-1640,29926
2013-09-28,4019,957-401-4811,85351
2008-04-23,7537,493-007-2155,10517
2006-07-14,7760,716-226-4645,97728
2002-06-04,9299,936-304-0090,36739
2012-08-18,6458,847-736-1498,38705
2014-06-14,3975,953-635-2976,15840
2003-03-17,7947,593-503-1562,29362
2000-05-28,231,936-044-6078,35683
2014-07-05,3061,854-529-9276,67677
2007-08-29,5155,151-915-3587,97274
2006-02-26,4005,745-121-1803,85171
2005-06-21,4743,375-905-1423,73047
2000-02-10,1018,385-972-9691,65743
2009-03-03,6636,137-306-8752,73300
2004-06-27,8211,183-687-4879,96391
2012-10-23,5524,623-574-5327,20381
2004-10-24,8447,174-526-0151,49425
2002-11-23,6618,945-495-8552,65165
2005-08-12,1999,870-585-7837,75705
2001-04-27,8415,871-084-4516,43633
2007-04-25,4189,880-119-3102,33202
2001-12-22,1222,551-372-2042,86870
2007-08-10,8447,751-956-7530,94580
2013-05-28,199,474-687-8878,31100
2011-08-05,7878,396-681-9897,49116
2005-10-18,4068,710-974-6935,74635
