date,vehicle_id,phone_number,postal_code
2002-02-14,4011,699-217-5405,93235
2007-07-18,9583,863-256-6481,34613
2012-03-06,9131,221-415-5674,84454
2002-06-01,4242,371-221-3691,41483
2010-04-10,4955,633-732-7306,22348
2000-05-26,9697,684-538-3374,97308
2010-12-04,9499,424-467-9491,14799
2011-07-10,4071,578-985-6047,29030
2003-10-30,2991,234-068-3785,64625
2006-09-16,9384,966-792-6794,84117
2004-06-20,8562,865-771-1226,67874
2008-11-30,8117,693-276-6656,55704
2013-12-29,4596,243-456-9950,84417
2008-07-16,445,945-166-7699,72635
2007-08-10,5336,108-805-3310,52123
2009-01-11,4207,192-246-3248,57562
2004-11-13,6149,158-088-4000,43244
2011-06-11,977,442-791-1590,37190
2012-03-29,734,525-798-4704,18393
2006-07-01,2974,319-981-8489,71057
1999-02-20,2178,327-432-3643,16397
2004-04-07,7237,795-853-5710,14499
2001-01-06,1560,143-373-8126,64810
2006-09-28,6511,851-963-3525,72989
2001-02-23,633,231-202-2099,24759
2008-11-08,1398,630-240-3460,69422
2004-07-31,8100,203-438-1816,15214
2008-01-22,7737,186-058-7685,43626
2002-03-05,7663,947-843-0440,70512
2008-04-22,7369,861-426-7443,43849
2008-05-25,9877,577-988-6836,18606
2014-05-31,74,565-168-0819,27002
2011-05-26,8776,270-945-6393,19254
2009-06-01,4571,559-895-4569,40547
2006-04-24,2748,652-454-2177,93902
2009-09-02,2411,184-345-4900,28503
2007-09-29,9965,517-423-9490,90254
2003-02-22,4447,964-547-3424,45749
2002-07-13,8088,237-219-5738,11515
2007-01-22,6313,584-327-8267,24732
2009-01-15,370,538-404-1489,68630
2012-09-02,647,445-813-4375,89237
2002-02-05,6641,205-619-5427,53619
2009-12-15,557,989-442-5735,34732
2010-02-20,1172,667-917-9849,41805
2008-06-14,638,923-714-3873,17912
2006-07-10,8955,942-515-6968,63978
2014-09-01,2865,333-579-2317,39292
2014-05-26,5839,644-056-5268,28594
2010-09-25,7867,516-460-5023,58645
