date,vehicle_id,phone_number,postal_code
2014-05-27,9969,112-463-4661,51466
2000-01-14,4953,770-316-1970,36589
2010-08-22,1096,733-058-5195,78495
2010-12-07,1202,548-393-7550,40953
2004-06-12,8985,611-049-8595,83473
2007-12-15,2972,941-971-2378,72912
2005-10-31,5048,693-583-2600,37309
2007-04-18,2541,697-247-1751,84021
2005-05-05,1240,262-047-5909,39727
2010-09-03,2504,795-397-8954,65082
2003-05-30,7306,633-703-2209,29656
2011-03-31,2413,285-168-7405,41275
2002-10-05,2042,982-291-6651,61227
2004-08-21,7023,187-018-6887,50736
2013-02-10,3028,947-297-7210,69676
2001-12-26,6676,900-724-3745,56711
2012-12-02,7345,561-849-5652,80152
2004-04-06,816,406-295-8528,74911
1999-12-29,1120,423-061-2367,47189
2006-03-03,8945,362-031-6621,26218
2003-09-20,8136,790-777-8699,85388
2007-05-30,9519,711-398-0095,77590
2006-05-02,3105,216-355-1181,32571
2014-01-27,9365,536-137-8105,98661
2008-06-24,5134,761-300-2990,11600
2005-07-08,8211,581-320-1027,79390
2003-02-05,5352,457-922-0426,72320
2006-03-04,9898,344-600-1283,75654
2007-02-12,3187,362-593-7771,70630
2009-09-21,2826,579-264-7570,39052
2000-04-19,8224,398-578-3775,73500
2007-11-12,8218,649-194-0181,82208
2007-09-07,1392,284-975-5503,98925
2002-03-28,7023,109-767-3052,87906
2004-08-12,7622,651-294-8511,42429
2010-10-29,7316,467-416-1889,25747
2012-09-02,2217,264-739-1439,98972
2011-03-19,4004,991-257-9859,93391
2011-12-12,563,158-116-4763,83317
2009-04-21,7706,240-797-6257,27663
2008-12-20,4417,321-358-9198,38527
2014-01-07,1734,253-319-3922,92289
2004-03-14,8812,423-784-7927,61290
2005-04-16,787,584-371-3662,49111
2010-02-14,6848,987-912-9514,60282
2007-06-06,5561,207-121-3196,20127
2012-10-16,9678,749-076-7042,83455
2010-07-24,8518,384-518-5390,90085
2014-09-23,9904,528-781-3027,16132
2014-08-25,716,384-852-0413,82555
