date,vehicle_id,phone_number,postal_code
1999-06-11,3169,275-355-4609,99128
2001-12-07,354,218-180-9958,96629
2010-02-11,4693,611-905-4001,41370
2002-09-04,6820,239-323-6076,44472
2000-05-03,6055,220-505-6110,62871
2009-05-04,5028,340-721-7062,91601
2013-01-08,9088,126-116-7200,82093
2005-01-08,7280,901-434-4521,70806
2000-02-07,4589,852-079-7216,26731
2014-07-23,3197,828-371-6555,67656
2012-05-19,439,905-794-4426,42922
2001-02-23,3806,983-318-9366,28237
2013-07-22,7213,808-045-6479,60308
2012-09-09,9931,689-171-5068,97854
2011-04-14,3118,110-535-4860,77235
1999-11-21,1459,462-035-1232,60282
2003-02-07,3513,448-492-0396,57287
2012-03-15,8421,189-537-3560,25457
2000-02-27,5260,261-008-6967,53093
2010-05-16,5574,521-090-3041,93583
2004-04-21,3249,285-095-1341,32754
2011-08-04,1726,670-949-3021,93361
2000-01-01,2661,717-544-8949,84306
2014-06-25,1314,194-024-8532,68731
2006-01-07,2238,119-836-7499,83845
2006-10-06,6017,852-736-2986,42949
2001-04-09,5706,601-321-8962,98728
1999-05-14,2749,188-313-8440,48558
2008-08-10,4148,490-444-9634,22371
1998-11-22,3412,277-510-1177,18183
1999-08-14,3865,176-540-3811,95860
2013-03-26,675,137-064-4856,41624
2007-08-05,7180,486-772-2662,15501
1999-03-25,6853,160-389-3832,25263
2006-10-27,1305,420-164-6170,49140
2008-08-11,6958,631-801-3911,42610
2000-08-13,5629,160-794-7814,49203
2003-01-12,8021,120-670-3770,91330
2004-05-28,4265,142-233-6897,58030
2006-09-28,1891,620-646-5155,40993
2000-03-06,2510,927-073-0403,75455
2009-09-18,6428,569-632-0368,14520
2004-04-17,2184,640-875-3939,15509
2013-05-13,1504,686-890-3735,22537
2006-07-05,8006,274-561-9861,33993
2003-06-23,4150,725-815-9819,67594
2011-09-29,8283,195-441-7606,52567
2004-08-23,7207,403-050-0194,76094
2010-07-22,8706,881-790-0825,21139
2009-05-20,7097,673-994-3341,66520
