date,vehicle_id,phone_number,postal_code
1998-12-29,2450,431-211-5464,30533
2005-03-05,8566,303-138-3438,74466
2004-03-30,99,662-990-9164,75389
2008-07-20,7206,246-405-9290,66040
1999-12-25,7296,270-668-6737,15893
1999-08-25,5189,753-063-1258,17576
1999-07-19,3646,600-394-9223,65814
2011-08-03,8288,914-323-4544,49728
2009-04-02,6670,800-909-1600,23173
2012-02-29,1445,537-092-9530,64457
2004-10-04,1413,151-096-1736,51780
2005-03-02,2420,892-959-3797,95635
2013-05-10,7470,471-286-1371,12761
2010-09-20,3446,484-171-5646,86788
2009-07-14,9837,690-862-0165,48161
2000-05-27,5621,998-989-7517,64637
2005-10-08,9886,376-766-8470,41603
2004-09-26,1382,784-992-6702,36651
2008-12-04,2136,426-270-3983,19289
2003-03-15,7265,262-097-5938,84870
2012-11-02,2962,758-922-0699,29649
2002-12-11,2848,714-964-5160,34851
2003-09-30,7167,955-782-1528,72207
1999-12-01,1168,380-544-1925,64695
2006-04-30,1037,263-931-1266,34636
2001-07-28,4376,832-820-7325,34372
1998-11-12,9748,812-469-7323,62997
2012-04-19,1528,713-413-8169,41534
2010-01-05,2808,229-111-8153,59597
2008-05-04,9231,631-351-6599,31467
2004-04-09,6697,568-871-4762,17540
2004-01-17,6071,736-952-4566,75978
1999-11-25,2998,867-140-7164,98401
2000-08-26,45,605-200-2733,16473
2001-06-18,9172,273-437-2883,50813
2005-02-03,3194,616-126-9963,99577
2009-11-15,7492,843-236-5482,82456
2011-10-29,6872,417-719-2917,52854
2009-12-25,3653,909-077-3507,84856
2000-05-08,8076,578-716-8894,44203
2009-08-14,1532,298-749-4733,58359
2014-04-29,1673,359-703-8483,35954
2013-01-02,6255,720-372-3875,36358
2009-03-30,8678,426-522-2819,27333
2005-07-31,7838,107-435-1213,55637
2006-11-02,7219,838-637-1923,37674
1998-10-10,3333,425-219-5221,51355
1999-08-08,2971,466-412-4823,83935
2013-07-06,2896,296-213-4751,30002
2000-03-31,4977,785-248-2222,90193
