date,vehicle_id,phone_number,postal_code
1999-06-02,6971,954-784-7414,77499
2007-12-29,6051,783-973-6801,36272
2008-11-06,1451,448-044-5479,50701
2012-10-30,3341,470-376-7843,87117
2001-10-19,3603,418-150-1767,37384
2008-11-11,9259,168-852-5871,16376
2002-01-18,5289,470-265-8586,31904
2001-07-22,2633,700-061-8879,35127
1999-10-17,3309,254-779-2648,52365
2014-08-28,1524,241-909-6523,43001
2000-03-07,6037,676-353-7942,70964
2007-01-30,5854,157-718-5262,50815
2007-08-14,4163,623-437-1166,52268
2013-05-01,3446,910-672-8416,46063
2005-05-25,8344,839-069-9504,19446
2010-05-06,7483,842-582-7543,88068
2008-10-28,1570,206-296-7752,98191
2008-12-20,5035,173-401-5123,12016
2005-03-24,3089,686-147-2869,94259
2005-02-11,5598,565-205-8698,82010
2009-12-09,8769,108-487-9225,97930
2006-01-30,2448,970-629-7576,42756
2010-06-02,1885,136-884-3591,16505
2003-10-08,4600,104-777-2346,37064
2014-08-26,2709,667-709-7049,11874
1998-10-11,6708,113-386-6735,85021
2012-10-20,4279,910-694-4495,74967
2008-05-28,5565,327-981-7024,47756
2011-02-09,1205,661-940-7489,34754
2012-01-31,6503,460-072-5550,67007
2010-12-30,7055,679-315-6025,62798
2012-01-19,6436,718-869-6811,35116
2006-08-24,9486,856-584-5811,45245
2013-07-16,7765,471-900-5389,13763
2010-04-22,2191,365-174-1554,21624
2013-06-07,6578,252-363-6352,35565
2000-11-15,5297,993-684-0652,26885
2001-12-10,1804,405-821-4446,66216
2011-01-17,8344,125-080-3394,23468
1999-01-07,4189,533-156-2231,21906
2007-02-12,3530,505-957-7444,72736
2008-07-30,2239,339-612-4572,20675
2012-12-07,8710,137-849-3717,70436
2013-03-25,7787,634-686-4282,21011
2006-11-01,8612,359-855-9594,22938
2006-06-08,4633,428-888-9930,32996
2008-09-15,2342,261-232-3742,87219
2005-09-11,2136,714-311-3116,68823
2005-12-18,3285,861-680-3990,28326
2012-11-02,962,642-341-2241,31416
