date,vehicle_id,phone_number,postal_code
2000-09-18,4095,362-412-2599,51827
2002-10-01,1302,655-387-4964,10887
2002-08-13,9099,633-788-4724,79144
2010-05-02,4264,754-474-5408,52910
2001-05-28,4795,884-453-6989,98312
2009-07-16,8440,376-078-4051,62414
2011-12-16,3668,117-167-2471,94827
2008-06-17,1147,502-906-8381,66875
2004-12-28,3567,724-647-7379,42655
2009-07-06,5322,102-836-2400,23757
2005-05-21,7079,127-807-5138,67480
2011-05-03,4203,638-796-5871,69877
2010-09-28,9607,462-252-9122,32402
2001-09-01,4814,504-891-9034,62426
2005-05-04,3521,784-611-6847,49342
2012-06-28,3510,489-033-7878,62672
2007-10-21,410,288-514-9122,97505
2004-01-23,3718,906-051-8249,98440
2004-07-27,9594,911-019-0765,15798
2001-11-08,4971,928-730-1726,83524
2010-06-29,7714,124-508-0514,62591
2007-12-20,9703,515-950-7669,84664
2005-09-07,5327,984-050-4108,62785
2005-07-15,1840,916-375-3199,41243
2011-11-19,4741,910-655-2018,22501
2013-08-06,6181,462-147-2606,68867
2013-04-24,3452,785-949-1401,42605
2006-06-17,4988,211-413-6882,93554
2005-11-20,1138,186-390-0491,67706
2001-12-15,7771,870-878-9384,94598
2003-02-27,1121,453-714-4323,37318
2012-07-13,1711,867-341-6938,88900
2013-03-13,4256,444-051-8738,83096
2001-11-16,8946,424-931-8330,50473
2004-11-20,6813,762-625-8449,16348
2000-09-16,9809,546-144-9448,78393
2005-05-10,2090,874-037-1110,57750
2000-02-04,6092,390-646-0854,79929
2006-12-06,7295,814-991-6327,69900
2007-12-23,6191,327-258-8751,59945
2005-03-21,9366,102-049-7277,45510
2014-05-30,2835,155-320-7729,45476
2001-02-06,6957,184-957-7842,88113
2012-01-15,2880,971-130-7123,10220
2008-08-02,4421,419-109-5898,19543
2008-05-17,2171,398-197-7274,37054
2010-03-18,1582,213-597-4557,47835
2005-02-17,5231,613-572-6105,10199
2004-03-08,4269,842-582-3226,68862
2010-01-01,4160,875-722-3701,13025
